,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,
Time Start,Subject,Location,Colour,Subject,Location,Colour,Subject,Location,Colour,Subject,Location,Colour,Subject,Location,Colour
07:30,Pinocchio,Blue 1,3,COS 344,IT 4-2,2,COS 341,IT 4-3,5,COS 332 Prac,?,10,,,
08:30,,,,COS 314,IT 4-2,4,COS 210,Eeufees/Centenary 2,8,COS 332 Prac,?,10,COS 344,IT 2-24,2
09:30,,,,,,,,,,COS 332 Prac,?,10,,,
10:30,,,,,,,COS 314,IT 2-25,4,,,,,,
11:30,COS 210,IT 2-26,8,,,,,,,,,,,,
12:30,COS 332 ,IT 2-25,10,,,,,,,,,,,,
13:30,COS 301 ,IT 2-25,9,,,,COS 332,IT 4-4,10,COS 341,IT 2-25,5,,,
14:30,,,,,,,,,,COS 314 Prac,?,4,,,
15:30,COS 344 ,?,2,,,,,,,COS 314 Prac,?,4,COS 301,IT 4-4,9
16:30,COS 344 ,?,2,,,,,,,COS 314 Prac,?,4,,,
17:30,COS 344 ,?,2,,,,COS 341 Prac,?,5,,,,,,
18:30,,,,,,,COS 341 Prac,?,5,,,,,,
19:30,,,,,,,COS 341 Prac,?,5,,,,,,
20:30,,,,,,,,,,,,,,,
